frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
251,000251.png,1.699856,-0.824647,3.298516,27.264,12.529,0.000,27.264,14.037,0.189
252,000252.png,1.729410,-0.830249,3.315629,27.546,12.518,0.000,27.546,14.058,0.074
253,000253.png,1.725640,-0.819828,3.264529,27.861,12.518,0.000,27.861,14.097,0.155
254,000254.png,1.765077,-0.830796,3.299707,28.143,12.517,0.000,28.143,14.132,0.170
255,000255.png,1.768127,-0.824904,3.256889,28.497,12.549,0.000,28.497,14.213,0.138
256,000256.png,1.798309,-0.830597,3.272752,28.788,12.540,0.000,28.788,14.241,0.437
257,000257.png,1.798077,-0.818967,3.232881,29.082,12.483,0.000,29.082,14.215,0.093
258,000258.png,1.837886,-0.826970,3.267128,29.359,12.441,0.000,29.359,14.204,0.116
259,000259.png,1.840293,-0.821382,3.230998,29.665,12.457,0.000,29.665,14.264,0.103
260,000260.png,1.864391,-0.821827,3.232779,29.973,12.419,0.000,29.973,14.263,0.107
261,000261.png,1.889316,-0.821059,3.233238,30.300,12.367,0.000,30.300,14.249,0.275
262,000262.png,1.888052,-0.811478,3.189925,30.620,12.348,0.000,30.620,14.273,0.114
263,000263.png,1.911307,-0.811714,3.190820,30.922,12.311,0.000,30.922,14.273,0.108
264,000264.png,1.934488,-0.811913,3.191571,31.221,12.273,0.000,31.221,14.273,0.103
265,000265.png,1.944272,-0.803699,3.165708,31.557,12.207,0.000,31.557,14.245,0.128
266,000266.png,1.967613,-0.805560,3.167022,31.852,12.192,0.000,31.852,14.271,0.111
267,000267.png,1.993208,-0.808923,3.165075,32.201,12.203,0.000,32.201,14.337,0.341
268,000268.png,2.010883,-0.809226,3.161757,32.456,12.187,0.000,32.456,14.356,0.182
269,000269.png,2.014706,-0.802683,3.139280,32.691,12.144,0.000,32.691,14.343,0.147
270,000270.png,2.033101,-0.803927,3.133239,32.979,12.147,0.000,32.979,14.391,0.339
271,000271.png,2.066669,-0.809912,3.142213,33.333,12.153,0.000,33.333,14.454,0.073
272,000272.png,2.062899,-0.804321,3.104817,33.601,12.176,0.000,33.601,14.524,0.285
273,000273.png,2.071138,-0.802356,3.081657,33.904,12.194,0.000,33.904,14.594,0.117
274,000274.png,2.107201,-0.808440,3.102668,34.183,12.164,0.000,34.183,14.604,0.085
275,000275.png,2.123238,-0.810364,3.091737,34.479,12.192,0.000,34.479,14.687,0.137
276,000276.png,2.126341,-0.805342,3.070420,34.704,12.168,0.000,34.704,14.697,0.107
277,000277.png,2.143341,-0.803875,3.069489,34.926,12.119,0.000,34.926,14.676,0.308
